BFCP 1024 1.0 11.0 523776 (191,611) 0.0015031584527994757
BFCP 2048 1.0 15.0 2096128 (202,827) 0.0020965814766440846
BFCP 4096 1.0 35.0 8386560 (536,1102) 3.391190111525749E-4
BFCP 8192 1.0 81.0 33550336 (1353,5838) 2.797519815577853E-4
BFCP 16384 1.0 298.0 134209536 (1160,15363) 1.0106886574995378E-4
BFCP 32768 1.0 1171.0 536854528 (14352,14353) 9.098077286493601E-6
BFCP 65536 1.0 4607.0 2147450880 (24636,62135) 1.485468241426593E-5
BFCP 131072 1.0 18496.0 8589869056 (19696,83202) 2.157393795718373E-5
BFCP 262144 1.0 84123.0 34359607296 (23776,96630) 7.505887840774498E-6
BFCP 524288 1.0 368682.0 137438691328 (79177,218807) 4.273675179259062E-6
