BFCP 1024 8.0 12.0 523776 (412,631) 0.010433400724363483
BFCP 2048 8.0 15.0 2096128 (291,1992) 0.002504500942072933
BFCP 4096 8.0 27.0 8386560 (2595,3710) 0.0029118082032261647
BFCP 8192 8.0 80.0 33550336 (4035,8176) 0.0034316613175862133
BFCP 16384 8.0 301.0 134209536 (5354,7206) 6.170133592208109E-4
BFCP 32768 8.0 1165.0 536854528 (1253,17607) 1.34829230329168E-4
BFCP 65536 8.0 4655.0 2147450880 (38315,52248) 2.0452493446150265E-4
BFCP 131072 8.0 18485.0 8589869056 (10555,91495) 2.2352493888311178E-4
BFCP 262144 8.0 85711.0 34359607296 (175214,221407) 1.2032960749436414E-5
BFCP 524288 8.0 372212.0 137438691328 (78966,462738) 1.2721760382985757E-5
